model,fold,log_loss,brier,accuracy
ridge_lr,12,0.6321396728637073,0.21962291061522207,0.6586538461538461
elasticnet,12,0.631363433447947,0.218939491923327,0.6634615384615384
logistic,12,0.632152430683126,0.21962672219510387,0.6586538461538461
xgboost,12,0.621561989911831,0.2166917622089386,0.6490384615384616
lasso_lr,13,0.6484269665999705,0.23086301102147477,0.6106870229007634
ridge_lr,13,0.6485150180970495,0.23103581872450063,0.6106870229007634
elasticnet,13,0.6489941399873671,0.23116098025420978,0.6106870229007634
logistic,13,0.64853938749796,0.23105237720032773,0.6106870229007634
xgboost,13,0.6422669979489323,0.22673571109771729,0.6106870229007634
lasso_lr,14,0.6841881236039149,0.24402065913302187,0.5878136200716846
ridge_lr,14,0.6843862075089324,0.24386939227151355,0.5967741935483871
elasticnet,14,0.6843949373871351,0.24403933879432152,0.5919952210274791
logistic,14,0.6839082094868707,0.24369422379740796,0.5931899641577061
xgboost,14,0.6902508734050236,0.24706827104091644,0.5800477897252091
lasso_lr,15,0.6501287791546705,0.2290931300272903,0.6194331983805668
ridge_lr,15,0.6520680460968217,0.22993955940988756,0.6174089068825911
elasticnet,15,0.6506326617860378,0.2293243209321916,0.6204453441295547
logistic,15,0.6517216191442122,0.2297768841014666,0.6169028340080972
xgboost,15,0.6460362593120489,0.2270045131444931,0.632085020242915
lasso_lr,16,0.6402027682331254,0.22486534022878724,0.6202365308804205
ridge_lr,16,0.6417608363030206,0.22561682325634808,0.6189224704336399
elasticnet,16,0.6404135515286036,0.22496623555240963,0.6208935611038108
logistic,16,0.641818302434456,0.22564539826990337,0.6195795006570303
xgboost,16,0.6303637606252924,0.22044287621974945,0.6340341655716163
lasso_lr,17,0.6102787747651813,0.21123135451204111,0.6644670050761421
ridge_lr,17,0.6102249012287304,0.2112453359820662,0.6654822335025381
elasticnet,17,0.6102633161495898,0.2112400934671294,0.6680203045685279
logistic,17,0.6102606873562811,0.21126265685542372,0.6654822335025381
xgboost,17,0.6103419591762516,0.21107420325279236,0.6741116751269035
lasso_lr,18,0.6177545386748765,0.21420139223264045,0.6676904176904177
ridge_lr,18,0.6188492690684307,0.21464931854745925,0.6633906633906634
elasticnet,18,0.6180361674289867,0.21432937788853132,0.6652334152334153
logistic,18,0.6191916657597193,0.21479299777208916,0.6597051597051597
xgboost,18,0.612941899633014,0.21262545883655548,0.6560196560196561
lasso_lr,19,0.6679627917042301,0.2376531665437834,0.575
ridge_lr,19,0.6690168482537003,0.2381478411279715,0.5760416666666667
elasticnet,19,0.6681318621621843,0.23770959262673022,0.5791666666666667
logistic,19,0.6676992014469484,0.23757320927703163,0.575
xgboost,19,0.6638952860548065,0.2362174242734909,0.5895833333333333
lasso_lr,20,0.6484842965248321,0.2298646037125195,0.6016260162601627
ridge_lr,20,0.6492898506728771,0.23018901145477824,0.5934959349593496
elasticnet,20,0.6485709384927004,0.2298997999798125,0.6016260162601627
logistic,20,0.6493470004319399,0.2302306000407888,0.5955284552845529
xgboost,20,0.6565099845705223,0.23353517055511475,0.5894308943089431
lasso_lr,21,0.6103142445001518,0.2110323148201625,0.6882591093117408
ridge_lr,21,0.6078300214581953,0.20993092027360447,0.6983805668016194
elasticnet,21,0.6104142231073696,0.21111442691722415,0.6882591093117408
logistic,21,0.607863501912793,0.2099044466875804,0.6963562753036437
xgboost,21,0.6214458859323685,0.21657852828502655,0.6680161943319838
lasso_lr,22,0.5985623456991769,0.20673232688134127,0.6748878923766816
ridge_lr,22,0.595568858050872,0.20534761429724904,0.6860986547085202
elasticnet,22,0.5987779231126018,0.20684871197053317,0.6771300448430493
logistic,22,0.5956655878237012,0.20538224056673962,0.6860986547085202
xgboost,22,0.6172857362167358,0.21389472484588623,0.672645739910314
lasso_lr,23,0.6392554900471135,0.22407972928122857,0.6506024096385542
