model,fold,log_loss,brier,accuracy
xgboost,63,0.8399491316848063,0.3152996003627777,0.5
lasso_lr,64,0.7906174767868823,0.29240268721200074,0.43617021276595747
ridge_lr,64,0.7824660764070597,0.29003988228260974,0.44680851063829785
elasticnet,64,0.7933262320976127,0.29345614171200846,0.43617021276595747
logistic,64,0.797723561518277,0.294010134854634,0.4574468085106383
xgboost,64,0.7568362612927594,0.2791319191455841,0.4521276595744681
lasso_lr,65,0.7093544899373289,0.2580864696337956,0.6
ridge_lr,65,0.7134026937057786,0.26015821354271823,0.6
elasticnet,65,0.7121081514984811,0.2593892972194044,0.6
logistic,65,0.6989014383706941,0.2527889104881205,0.6
xgboost,65,0.7279701333684423,0.26658710837364197,0.6
lasso_lr,66,0.6433951792881624,0.22714964346953703,0.6029411764705882
ridge_lr,66,0.6466557543276541,0.22870861466567552,0.6
elasticnet,66,0.6438276409054241,0.22736261319666654,0.5970588235294118
logistic,66,0.6568337387478844,0.23271924231573146,0.6088235294117647
xgboost,66,0.6428887522168096,0.2271771878004074,0.5970588235294118
lasso_lr,67,0.6368823907015737,0.22315963109865172,0.630461922596754
ridge_lr,67,0.6374582678853675,0.2233294587049549,0.6267166042446941
elasticnet,67,0.6370905360009559,0.2232493597931148,0.6242197253433208
logistic,67,0.6427002297010592,0.2254310417156242,0.6267166042446941
xgboost,67,0.636309146639209,0.22291918098926544,0.6373283395755306
lasso_lr,68,0.6290865357963609,0.21958048590880402,0.6453089244851259
ridge_lr,68,0.6236515523866385,0.21715981867452053,0.6647597254004577
elasticnet,68,0.6283636703178264,0.21926915622558563,0.6475972540045767
logistic,68,0.6194866915421223,0.21536666271263258,0.6533180778032036
xgboost,68,0.6263158252496124,0.21873918175697327,0.6447368421052632
lasso_lr,69,0.6193385133159502,0.21547594758874347,0.6457023060796646
ridge_lr,69,0.6193095271067229,0.2155994314950934,0.6477987421383647
elasticnet,69,0.6192293771967798,0.21543250118712162,0.6467505241090147
logistic,69,0.6195731884743899,0.21580395836058863,0.6462264150943396
xgboost,69,0.6219039964223492,0.2167687565088272,0.6451781970649895
lasso_lr,70,0.6361980431235795,0.2232850630404171,0.6313025210084033
ridge_lr,70,0.63610446190585,0.22318732566599428,0.6355042016806722
elasticnet,70,0.6361075747198498,0.22325086771997235,0.6313025210084033
logistic,70,0.6419733317067522,0.2260272954397549,0.6228991596638656
xgboost,70,0.6363826397226336,0.22348621487617493,0.6376050420168067
lasso_lr,71,0.6612012634786125,0.23438121504293696,0.5983870967741935
ridge_lr,71,0.661182518911842,0.23433684756279818,0.6112903225806452
elasticnet,71,0.6613290020898487,0.23444147667832807,0.5935483870967742
logistic,71,0.6708511499149902,0.23781470624662568,0.6096774193548387
xgboost,71,0.6631253910095427,0.23514379560947418,0.6104838709677419
lasso_lr,72,0.6492913234316834,0.22898036505348512,0.6167247386759582
ridge_lr,72,0.6499786021670773,0.229451617348198,0.6097560975609756
elasticnet,72,0.6494704781733941,0.22906855849251587,0.627177700348432
logistic,72,0.6647931314310536,0.23635839076167606,0.6202090592334495
xgboost,72,0.648575051751636,0.22878839075565338,0.6149825783972126
lasso_lr,73,0.6692043162989972,0.23747869598601548,0.6236559139784946
ridge_lr,73,0.6777330569940857,0.24120700141479984,0.5967741935483871
elasticnet,73,0.6695628797334787,0.23762249506343433,0.6236559139784946
logistic,73,0.668731566497807,0.2363628629154638,0.6102150537634409
xgboost,73,0.6674076560033859,0.23688183724880219,0.6155913978494624
